priority,event_id,source,category,reason,field_in_question,current_value
P1,EVT-BSEE-0076,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0077,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0079,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0080,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0082,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0083,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0084,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0086,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0087,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0089,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0090,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0092,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0093,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0094,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P2,EVT-BSEE-0095,Bureau of Safety and Environmental Enforcement (BSEE),BARRIER_ABSENT_IN_TEXT,Narrative lacks explicit mention of physical or engineered barrier status.,barriers,EMPTY
P1,EVT-BSEE-0096,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0098,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0099,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P1,EVT-BSEE-0100,Bureau of Safety and Environmental Enforcement (BSEE),SIF_LABEL_AMBIGUITY,Insufficient text evidence to determine SIF potential; marked UNKNOWN.,sif.sif_potential,UNKNOWN
P0,EVT-BSEE-0101,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,03949d8b0306f7fbe1949ad09ae27bbc53575bf82a6d8eb3c2cd2db229d8904f
P0,EVT-BSEE-0102,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,fdd42d19e6d96cbc9dd55a95e8165a29c6489136fa0c0bbcc33d348d7716ab30
P0,EVT-BSEE-0103,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,d7127d7b5f0be722a203fb4e112a09e1dd57fe81f4174e4d36725c66f145b63b
P0,EVT-BSEE-0104,Bureau of Safety and Environmental Enforcement (BSEE),MISSING_SOURCE_ARTIFACT,Record derived from catalog metadata without packaged physical PDF/HTML artifact.,provenance.document_hash,9409b7b3ea9a62dfb6046dee65d5fc769ed412216b6d54aa8f169f9bf5c1806e
