document_id,source,url,title,expected_path,actual_path,file_present,manifest_sha256,actual_sha256,hash_match,retrieval_status,extraction_status,event_count,provenance_status,notes
SRC-BSEE-0025,BSEE,https://www.bsee.gov/safety-alerts/turbine-generator-exhaust-silencer-failure-1-27-25,SRC-BSEE-0025.pdf,dataset/documents/bsee/SRC-BSEE-0025.pdf,dataset/documents/bsee/SRC-BSEE-0025.pdf,YES,0dc588bef4f4f2af4a273175f1e35a9f1b9f1e3694fa24afd6dc0b8070d460b1,0dc588bef4f4f2af4a273175f1e35a9f1b9f1e3694fa24afd6dc0b8070d460b1,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0026,BSEE,https://www.bsee.gov/safety-alerts/ruptured-nitrogen-cylinders,SRC-BSEE-0026.pdf,dataset/documents/bsee/SRC-BSEE-0026.pdf,dataset/documents/bsee/SRC-BSEE-0026.pdf,YES,2113109293c03b1d2aeaee42259fbd3e8e20b6cf95c2f7014ce20e64b261b1ce,2113109293c03b1d2aeaee42259fbd3e8e20b6cf95c2f7014ce20e64b261b1ce,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0027,BSEE,https://www.bsee.gov/safety-alerts/bsee-alerts-offshore-workers-to-series-of-incidents-involving-self-retracting,SRC-BSEE-0027.pdf,dataset/documents/bsee/SRC-BSEE-0027.pdf,dataset/documents/bsee/SRC-BSEE-0027.pdf,YES,06643f877ee2d0fc08c773b439d4f62b07b71067e0fe0efa11bb05c188548049,06643f877ee2d0fc08c773b439d4f62b07b71067e0fe0efa11bb05c188548049,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0028,BSEE,https://www.bsee.gov/safety-alerts/vigilance-required-in-offshore-helideck-operations,SRC-BSEE-0028.pdf,dataset/documents/bsee/SRC-BSEE-0028.pdf,dataset/documents/bsee/SRC-BSEE-0028.pdf,YES,c3eff87054897876bdc25f2162c8055f06c5f5f8f5d4df17fc2e6cf69e83fe14,c3eff87054897876bdc25f2162c8055f06c5f5f8f5d4df17fc2e6cf69e83fe14,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0029,BSEE,https://www.bsee.gov/safety-alerts/helideck-condition-notifications-and-verification,SRC-BSEE-0029.pdf,dataset/documents/bsee/SRC-BSEE-0029.pdf,dataset/documents/bsee/SRC-BSEE-0029.pdf,YES,36168e5446a0ff6e2f59969c86b3d5d0803e34bdbce6e1c18fba4920cc9b2f4e,36168e5446a0ff6e2f59969c86b3d5d0803e34bdbce6e1c18fba4920cc9b2f4e,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0030,BSEE,https://www.bsee.gov/safety-alerts/bsee-reminds-offshore-workers-conduct-pre-job-assessment-for-potential-hazards-stay,SRC-BSEE-0030.pdf,dataset/documents/bsee/SRC-BSEE-0030.pdf,dataset/documents/bsee/SRC-BSEE-0030.pdf,YES,229e14c252f36ab7e52a548c9c8c443c03bf639be86c71a56719edb006e0e8a7,229e14c252f36ab7e52a548c9c8c443c03bf639be86c71a56719edb006e0e8a7,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0031,BSEE,https://www.bsee.gov/safety-alerts/flash-fires-during-welding-operations,SRC-BSEE-0031.pdf,dataset/documents/bsee/SRC-BSEE-0031.pdf,dataset/documents/bsee/SRC-BSEE-0031.pdf,YES,b90c8000e42253ae71461da81a4f5b1ed24d6b24d7ec18d3eee3c2a526936efd,b90c8000e42253ae71461da81a4f5b1ed24d6b24d7ec18d3eee3c2a526936efd,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0032,BSEE,https://www.bsee.gov/safety-alerts/recurring-hand-injuries-while-using-alternative-cutting-devices,SRC-BSEE-0032.pdf,dataset/documents/bsee/SRC-BSEE-0032.pdf,dataset/documents/bsee/SRC-BSEE-0032.pdf,YES,2ba4c07e3ac1c39572c5e941a5a9ac0ed01ac56293ea4a6af09bb606c0c28502,2ba4c07e3ac1c39572c5e941a5a9ac0ed01ac56293ea4a6af09bb606c0c28502,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0033,BSEE,https://www.bsee.gov/safety-alerts/heat-advisory,SRC-BSEE-0033.pdf,dataset/documents/bsee/SRC-BSEE-0033.pdf,dataset/documents/bsee/SRC-BSEE-0033.pdf,YES,52cc04dd39c4dd5cdf6e5372b90cfed7701993a2d1efe98421d408baf5303807,52cc04dd39c4dd5cdf6e5372b90cfed7701993a2d1efe98421d408baf5303807,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
SRC-BSEE-0034,BSEE,https://www.bsee.gov/safety-alerts/hand-tools-pose-risk-to-offshore-personnel,SRC-BSEE-0034.pdf,dataset/documents/bsee/SRC-BSEE-0034.pdf,dataset/documents/bsee/SRC-BSEE-0034.pdf,YES,775110bf9377b9b37ba8c3641503e4ff1db08b42bf232e421e978041e6f774ff,775110bf9377b9b37ba8c3641503e4ff1db08b42bf232e421e978041e6f774ff,YES,SUCCESS_200,EXTRACTED_TXT,1,VERIFIED,Physical file verified; SHA-256 matches manifest.
