event_id,source_organization,document_title,source_url,document_id,document_hash,provenance_status,quality_flag,is_oil_internal
EVT-IMCA-1735,International Marine Contractors Association (IMCA),05/13: Battery damage caused by charger failure,https://www.imca-int.com/resources/safety/safety-flashes/0513-battery-damage-caused-by-charger-failure/,SRC-IMCA-1735,dce10b8fb79d7cc7efd6edcf7bde939e62b029335478ebff3722d440d30637bc,VERIFIED,VERIFIED,False
EVT-IMCA-1736,International Marine Contractors Association (IMCA),05/13: Near-miss: Exposed live electrical cable,https://www.imca-int.com/resources/safety/safety-flashes/0513-near-miss-exposed-live-electrical-cable/,SRC-IMCA-1736,ae9009089e3c9e5d4b97d83648c8be6c5db322d7a6068d67090a1f773e204048,VERIFIED,VERIFIED,False
EVT-IMCA-1737,International Marine Contractors Association (IMCA),05/13: Finger and hand injuries,https://www.imca-int.com/resources/safety/safety-flashes/0513-finger-and-hand-injuries/,SRC-IMCA-1737,9e85a35ff745ba99846f3d0c943191d7127624c481841d9f55dec023bbbae165,VERIFIED,VERIFIED,False
EVT-IMCA-1738,International Marine Contractors Association (IMCA),05/13: High potential near-miss during equipment testing,https://www.imca-int.com/resources/safety/safety-flashes/0513-high-potential-near-miss-during-equipment-testing/,SRC-IMCA-1738,7185743c91c07b6d63ffefd5aa371f0abf8ffb3edef9c5447fe371bc4280916b,VERIFIED,VERIFIED,False
EVT-IMCA-1739,International Marine Contractors Association (IMCA),05/13: Pressure switch location for fixed fire suppression systems,https://www.imca-int.com/resources/safety/safety-flashes/0513-pressure-switch-location-for-fixed-fire-suppression-systems/,SRC-IMCA-1739,041cd5b35980e368e15487d3df06b8b2c13664817a3e24e421da51c501999873,VERIFIED,VERIFIED,False
EVT-IMCA-1740,International Marine Contractors Association (IMCA),04/13: Near-miss: Dropped handrail/gate near moonpool,https://www.imca-int.com/resources/safety/safety-flashes/0413-near-miss-dropped-handrailgate-near-moonpool/,SRC-IMCA-1740,4ff9d99ac488880d955266fc2ac219340560fa7fad2dd076c3c48b15e058b42b,VERIFIED,VERIFIED,False
EVT-IMCA-1741,International Marine Contractors Association (IMCA),04/13: Lost time injury (LTI): Fall from height leading to multiple fractures,https://www.imca-int.com/resources/safety/safety-flashes/0413-lost-time-injury-lti-fall-from-height-leading-to-multiple-fractures/,SRC-IMCA-1741,3a0939e772d36f21dc64b990b8d806a1cfe3a934b4399eae2c6562d0c777a771,VERIFIED,VERIFIED,False
EVT-IMCA-1742,International Marine Contractors Association (IMCA),04/13: Near-miss: Scaffolding collapse,https://www.imca-int.com/resources/safety/safety-flashes/0413-near-miss-scaffolding-collapse/,SRC-IMCA-1742,eef34a8873c02e1352a83f8346493372afb7714d7f9fa42e9553bc72d8c0317d,VERIFIED,VERIFIED,False
EVT-IMCA-1743,International Marine Contractors Association (IMCA),04/13: Outbreak of salmonella and gastroenteritis on an offshore facility,https://www.imca-int.com/resources/safety/safety-flashes/0413-outbreak-of-salmonella-and-gastroenteritis-on-an-offshore-facility/,SRC-IMCA-1743,e33b76af917e7b3f6865f34e60021aff6c06a1a43ce5bc1293ecf9173fd0813b,VERIFIED,VERIFIED,False
EVT-IMCA-1744,International Marine Contractors Association (IMCA),04/13: Fatal crush injury during vessel hull maintenance,https://www.imca-int.com/resources/safety/safety-flashes/0413-fatal-crush-injury-during-vessel-hull-maintenance/,SRC-IMCA-1744,22ebb22d3d6751b3579aa50d15d3d020f595bc788d585268a7ef3b331c13bc81,VERIFIED,VERIFIED,False
